sender,recver,channel,interactions,date
11,18,slack,5,2020-01-01
13,81,zoom,0,2020-01-01
13,10,slack,9,2020-01-01
13,17,email,8,2020-01-01
13,16,zoom,1,2020-01-01
13,86,email,5,2020-01-01
13,12,email,1,2020-01-01
13,3,slack,9,2020-01-01
14,0,zoom,2,2020-01-01
14,14,slack,14,2020-01-01
14,0,slack,19,2020-01-01
14,58,zoom,1,2020-01-01
14,18,zoom,0,2020-01-01
14,13,slack,15,2020-01-01
14,13,email,1,2020-01-01
14,91,email,1,2020-01-01
14,17,email,1,2020-01-01
15,37,email,6,2020-01-01
15,13,email,2,2020-01-01
15,18,email,3,2020-01-01
15,91,zoom,4,2020-01-01
16,8,email,5,2020-01-01
16,87,slack,6,2020-01-01
16,22,email,1,2020-01-01
16,10,zoom,1,2020-01-01
16,22,email,3,2020-01-01
16,22,email,2,2020-01-01
16,17,slack,8,2020-01-01
16,20,email,5,2020-01-01
16,50,zoom,2,2020-01-01
16,16,slack,20,2020-01-01
16,54,slack,10,2020-01-01
16,18,email,1,2020-01-01
17,94,slack,17,2020-01-01
17,18,zoom,1,2020-01-01
17,16,slack,18,2020-01-01
17,23,zoom,2,2020-01-01
18,12,zoom,1,2020-01-01
18,47,email,2,2020-01-01
18,10,email,4,2020-01-01
18,37,email,2,2020-01-01
18,14,slack,7,2020-01-01
18,7,zoom,4,2020-01-01
18,33,email,4,2020-01-01
18,47,zoom,1,2020-01-01
18,13,zoom,2,2020-01-01
18,55,email,3,2020-01-01
18,15,email,4,2020-01-01
18,1,zoom,3,2020-01-01
18,47,email,4,2020-01-01
18,13,zoom,2,2020-01-01
18,49,zoom,2,2020-01-01
18,68,email,3,2020-01-01
19,12,slack,10,2020-01-01
19,18,email,0,2020-01-01
19,17,zoom,0,2020-01-01
19,13,slack,3,2020-01-01
19,10,email,5,2020-01-01
19,80,email,2,2020-01-01
19,11,zoom,1,2020-01-01
19,10,zoom,0,2020-01-01
19,95,slack,4,2020-01-01
19,68,zoom,0,2020-01-01
19,12,email,2,2020-01-01
19,15,email,2,2020-01-01
19,66,zoom,0,2020-01-01
19,58,zoom,2,2020-01-01
19,11,zoom,1,2020-01-01
20,26,slack,5,2020-01-01
20,64,slack,11,2020-01-01
21,27,zoom,4,2020-01-01
21,19,email,3,2020-01-01
21,23,email,4,2020-01-01
21,32,slack,7,2020-01-01
21,28,email,2,2020-01-01
21,63,slack,10,2020-01-01
21,28,zoom,0,2020-01-01
21,20,email,5,2020-01-01
21,53,slack,4,2020-01-01
21,53,slack,9,2020-01-01
21,8,zoom,1,2020-01-01
21,53,email,6,2020-01-01
21,33,zoom,3,2020-01-01
22,71,slack,12,2020-01-01
22,6,email,4,2020-01-01
22,23,slack,11,2020-01-01
22,28,email,8,2020-01-01
22,24,slack,11,2020-01-01
22,23,slack,7,2020-01-01
22,26,zoom,5,2020-01-01
22,23,email,5,2020-01-01
22,22,email,7,2020-01-01
23,27,slack,10,2020-01-01
23,88,slack,22,2020-01-01
23,58,zoom,2,2020-01-01
23,29,email,6,2020-01-01
23,61,email,5,2020-01-01
23,28,email,4,2020-01-01
23,75,zoom,0,2020-01-01
23,10,zoom,1,2020-01-01
24,86,email,4,2020-01-01
24,9,slack,7,2020-01-01
24,92,email,4,2020-01-01
24,28,zoom,2,2020-01-01
24,28,email,1,2020-01-01
24,24,email,5,2020-01-01
24,64,slack,4,2020-01-01
24,20,email,3,2020-01-01
24,21,email,8,2020-01-01
24,24,email,2,2020-01-01
24,40,email,5,2020-01-01
24,92,zoom,1,2020-01-01
24,67,slack,6,2020-01-01
24,98,slack,10,2020-01-01
24,17,zoom,0,2020-01-01
24,92,email,2,2020-01-01
24,17,zoom,0,2020-01-01
25,25,slack,8,2020-01-01
25,25,email,3,2020-01-01
26,39,email,5,2020-01-01
26,99,email,1,2020-01-01
26,24,email,0,2020-01-01
26,60,zoom,1,2020-01-01
26,24,slack,11,2020-01-01
26,99,email,4,2020-01-01
26,79,email,1,2020-01-01
26,40,zoom,1,2020-01-01
26,27,zoom,1,2020-01-01
26,12,email,5,2020-01-01
26,63,slack,18,2020-01-01
26,61,slack,7,2020-01-01
26,98,email,4,2020-01-01
27,47,email,2,2020-01-01
27,21,email,3,2020-01-01
27,25,email,5,2020-01-01
28,29,slack,18,2020-01-01
28,28,slack,9,2020-01-01
28,20,zoom,1,2020-01-01
28,20,zoom,3,2020-01-01
28,23,zoom,1,2020-01-01
28,26,zoom,2,2020-01-01
28,48,slack,9,2020-01-01
28,28,zoom,1,2020-01-01
28,66,zoom,4,2020-01-01
28,22,email,7,2020-01-01
28,19,zoom,3,2020-01-01
28,9,zoom,3,2020-01-01
29,39,email,1,2020-01-01
29,35,zoom,0,2020-01-01
29,21,zoom,0,2020-01-01
29,36,email,1,2020-01-01
30,85,zoom,0,2020-01-01
30,0,zoom,3,2020-01-01
31,86,zoom,4,2020-01-01
31,37,zoom,2,2020-01-01
31,36,zoom,0,2020-01-01
31,53,email,4,2020-01-01
31,29,email,2,2020-01-01
31,56,zoom,7,2020-01-01
31,35,slack,11,2020-01-01
31,72,zoom,2,2020-01-01
31,34,email,3,2020-01-01
31,97,zoom,2,2020-01-01
31,7,email,1,2020-01-01
31,36,email,0,2020-01-01
31,37,email,1,2020-01-01
31,97,zoom,5,2020-01-01
31,84,email,3,2020-01-01
31,31,email,1,2020-01-01
31,34,zoom,3,2020-01-01
31,35,email,1,2020-01-01
31,31,zoom,2,2020-01-01
31,26,email,4,2020-01-01
31,35,slack,6,2020-01-01
31,37,slack,6,2020-01-01
31,30,email,2,2020-01-01
31,31,slack,12,2020-01-01
31,53,zoom,5,2020-01-01
32,36,zoom,6,2020-01-01
32,35,zoom,0,2020-01-01
32,96,zoom,1,2020-01-01
32,39,slack,2,2020-01-01
32,83,zoom,2,2020-01-01
32,30,email,1,2020-01-01
32,27,email,3,2020-01-01
32,7,slack,11,2020-01-01
32,30,email,2,2020-01-01
32,34,slack,10,2020-01-01
32,62,zoom,3,2020-01-01
32,35,zoom,2,2020-01-01
32,35,zoom,3,2020-01-01
32,20,email,1,2020-01-01
32,95,slack,6,2020-01-01
32,32,zoom,0,2020-01-01
32,78,slack,9,2020-01-01
32,4,zoom,3,2020-01-01
32,37,email,2,2020-01-01
33,60,slack,5,2020-01-01
33,47,slack,9,2020-01-01
33,80,zoom,1,2020-01-01
33,36,zoom,2,2020-01-01
33,60,slack,6,2020-01-01
33,18,email,2,2020-01-01
33,34,zoom,3,2020-01-01
33,93,email,1,2020-01-01
33,33,zoom,2,2020-01-01
33,52,zoom,3,2020-01-01
33,18,email,3,2020-01-01
34,54,zoom,2,2020-01-01
34,91,email,3,2020-01-01
34,48,zoom,3,2020-01-01
34,63,email,3,2020-01-01
34,38,slack,17,2020-01-01
34,37,slack,12,2020-01-01
34,12,email,0,2020-01-01
34,80,zoom,4,2020-01-01
34,5,email,2,2020-01-01
34,82,zoom,2,2020-01-01
34,16,slack,12,2020-01-01
34,38,zoom,3,2020-01-01
34,48,email,1,2020-01-01
34,39,email,2,2020-01-01
35,36,zoom,2,2020-01-01
35,33,email,6,2020-01-01
35,30,slack,12,2020-01-01
35,29,email,7,2020-01-01
35,33,email,2,2020-01-01
35,38,zoom,2,2020-01-01
36,32,zoom,0,2020-01-01
36,98,slack,14,2020-01-01
36,32,email,5,2020-01-01
36,37,zoom,2,2020-01-01
36,55,zoom,3,2020-01-01
36,27,email,0,2020-01-01
36,30,slack,10,2020-01-01
36,39,email,7,2020-01-01
37,39,zoom,7,2020-01-01
37,39,slack,3,2020-01-01
37,51,zoom,2,2020-01-01
37,38,slack,4,2020-01-01
37,20,email,2,2020-01-01
37,37,email,1,2020-01-01
37,38,email,7,2020-01-01
38,30,email,3,2020-01-01
39,34,email,1,2020-01-01
39,59,zoom,5,2020-01-01
39,35,zoom,1,2020-01-01
39,34,slack,13,2020-01-01
39,85,slack,17,2020-01-01
39,39,zoom,1,2020-01-01
39,48,zoom,1,2020-01-01
39,36,slack,19,2020-01-01
39,98,email,3,2020-01-01
39,33,email,4,2020-01-01
39,39,email,7,2020-01-01
39,34,email,4,2020-01-01
39,89,email,6,2020-01-01
39,19,email,4,2020-01-01
39,5,email,1,2020-01-01
39,35,email,1,2020-01-01
40,55,slack,14,2020-01-01
40,24,zoom,4,2020-01-01
40,86,zoom,1,2020-01-01
40,24,zoom,3,2020-01-01
40,49,email,3,2020-01-01
40,31,email,2,2020-01-01
40,53,slack,10,2020-01-01
40,86,email,1,2020-01-01
40,48,zoom,3,2020-01-01
40,53,email,4,2020-01-01
40,98,slack,9,2020-01-01
40,47,email,3,2020-01-01
40,41,zoom,0,2020-01-01
40,86,zoom,3,2020-01-01
40,42,slack,20,2020-01-01
40,74,email,2,2020-01-01
40,50,email,5,2020-01-01
40,52,email,3,2020-01-01
40,46,zoom,2,2020-01-01
40,56,slack,15,2020-01-01
40,41,email,3,2020-01-01
40,51,zoom,4,2020-01-01
41,66,email,1,2020-01-01
41,49,zoom,4,2020-01-01
41,53,email,0,2020-01-01
41,53,zoom,2,2020-01-01
41,43,email,3,2020-01-01
42,31,slack,6,2020-01-01
42,41,email,2,2020-01-01
42,55,zoom,2,2020-01-01
42,59,email,6,2020-01-01
42,46,zoom,3,2020-01-01
42,41,email,1,2020-01-01
43,53,slack,9,2020-01-01
43,54,slack,21,2020-01-01
43,50,slack,13,2020-01-01
43,40,zoom,0,2020-01-01
43,65,email,7,2020-01-01
43,1,slack,16,2020-01-01
43,42,email,5,2020-01-01
43,56,zoom,1,2020-01-01
43,89,zoom,2,2020-01-01
43,1,slack,11,2020-01-01
43,53,slack,15,2020-01-01
43,47,email,6,2020-01-01
43,52,slack,8,2020-01-01
43,1,email,4,2020-01-01
43,59,slack,16,2020-01-01
43,42,email,3,2020-01-01
44,32,zoom,1,2020-01-01
44,32,slack,6,2020-01-01
44,86,email,3,2020-01-01
44,16,zoom,1,2020-01-01
44,57,zoom,2,2020-01-01
44,32,slack,4,2020-01-01
44,50,slack,11,2020-01-01
44,56,email,2,2020-01-01
44,32,zoom,4,2020-01-01
44,16,slack,6,2020-01-01
44,32,email,1,2020-01-01
44,58,zoom,4,2020-01-01
44,16,zoom,6,2020-01-01
44,35,email,4,2020-01-01
44,32,email,5,2020-01-01
44,77,slack,5,2020-01-01
44,42,zoom,1,2020-01-01
45,43,slack,13,2020-01-01
45,57,email,3,2020-01-01
45,43,slack,13,2020-01-01
45,8,slack,12,2020-01-01
45,41,email,3,2020-01-01
45,41,email,2,2020-01-01
45,51,email,2,2020-01-01
45,45,zoom,3,2020-01-01
45,42,email,2,2020-01-01
46,40,slack,7,2020-01-01
46,49,slack,5,2020-01-01
46,50,zoom,0,2020-01-01
46,79,slack,6,2020-01-01
46,71,slack,6,2020-01-01
47,40,slack,15,2020-01-01
47,23,zoom,2,2020-01-01
47,27,email,5,2020-01-01
47,59,zoom,2,2020-01-01
47,56,zoom,2,2020-01-01
47,36,email,3,2020-01-01
47,42,slack,16,2020-01-01
47,41,zoom,3,2020-01-01
47,42,email,2,2020-01-01
47,6,email,2,2020-01-01
48,42,slack,7,2020-01-01
48,40,zoom,4,2020-01-01
48,43,slack,4,2020-01-01
48,52,email,2,2020-01-01
48,48,email,4,2020-01-01
48,50,email,2,2020-01-01
48,41,slack,9,2020-01-01
49,57,email,1,2020-01-01
49,59,zoom,2,2020-01-01
49,13,email,4,2020-01-01
49,51,zoom,1,2020-01-01
49,56,slack,9,2020-01-01
49,52,email,2,2020-01-01
49,1,zoom,0,2020-01-01
49,24,email,0,2020-01-01
49,52,email,1,2020-01-01
49,46,zoom,1,2020-01-01
49,49,email,3,2020-01-01
49,13,zoom,0,2020-01-01
49,45,slack,11,2020-01-01
49,13,email,0,2020-01-01
49,42,slack,12,2020-01-01
49,57,email,3,2020-01-01
50,41,zoom,2,2020-01-01
50,47,slack,7,2020-01-01
50,59,slack,5,2020-01-01
50,56,zoom,5,2020-01-01
50,52,zoom,0,2020-01-01
50,75,zoom,4,2020-01-01
50,41,email,2,2020-01-01
50,61,slack,8,2020-01-01
50,78,email,0,2020-01-01
50,91,email,2,2020-01-01
51,41,zoom,0,2020-01-01
51,57,zoom,2,2020-01-01
51,67,zoom,1,2020-01-01
51,66,slack,17,2020-01-01
51,70,zoom,1,2020-01-01
51,17,slack,11,2020-01-01
51,6,zoom,1,2020-01-01
52,55,email,2,2020-01-01
52,57,email,3,2020-01-01
52,56,slack,17,2020-01-01
52,24,zoom,6,2020-01-01
52,24,email,1,2020-01-01
52,54,zoom,3,2020-01-01
52,53,slack,15,2020-01-01
52,42,slack,11,2020-01-01
53,41,zoom,5,2020-01-01
53,21,email,4,2020-01-01
53,61,email,4,2020-01-01
53,55,email,5,2020-01-01
53,45,email,4,2020-01-01
53,55,slack,4,2020-01-01
53,53,zoom,1,2020-01-01
53,85,slack,4,2020-01-01
54,56,slack,11,2020-01-01
54,51,slack,9,2020-01-01
54,57,zoom,4,2020-01-01
54,93,email,1,2020-01-01
54,47,slack,8,2020-01-01
54,50,zoom,3,2020-01-01
55,46,zoom,2,2020-01-01
55,5,slack,12,2020-01-01
55,45,email,2,2020-01-01
55,4,zoom,3,2020-01-01
55,67,email,4,2020-01-01
55,40,slack,5,2020-01-01
55,56,zoom,1,2020-01-01
55,7,email,1,2020-01-01
55,49,zoom,6,2020-01-01
55,5,zoom,3,2020-01-01
56,46,zoom,2,2020-01-01
57,9,slack,17,2020-01-01
57,51,email,3,2020-01-01
57,45,zoom,2,2020-01-01
57,33,slack,12,2020-01-01
57,48,zoom,3,2020-01-01
57,9,zoom,1,2020-01-01
57,16,zoom,0,2020-01-01
57,16,slack,14,2020-01-01
57,42,email,2,2020-01-01
57,58,email,1,2020-01-01
57,40,email,3,2020-01-01
57,51,slack,12,2020-01-01
57,3,email,0,2020-01-01
57,41,slack,10,2020-01-01
57,12,zoom,2,2020-01-01
57,39,zoom,1,2020-01-01
57,84,email,2,2020-01-01
57,43,slack,10,2020-01-01
57,57,zoom,1,2020-01-01
58,52,zoom,3,2020-01-01
58,82,zoom,4,2020-01-01
58,28,email,3,2020-01-01
58,42,slack,9,2020-01-01
58,47,email,6,2020-01-01
58,51,zoom,6,2020-01-01
58,41,zoom,2,2020-01-01
58,50,email,4,2020-01-01
58,51,zoom,3,2020-01-01
58,57,slack,16,2020-01-01
58,52,email,6,2020-01-01
58,44,slack,9,2020-01-01
59,50,email,3,2020-01-01
59,54,zoom,3,2020-01-01
59,61,slack,5,2020-01-01
59,41,zoom,3,2020-01-01
59,48,zoom,5,2020-01-01
59,53,slack,7,2020-01-01
59,43,email,6,2020-01-01
59,48,zoom,3,2020-01-01
59,52,slack,7,2020-01-01
59,57,email,3,2020-01-01
60,60,slack,9,2020-01-01
60,67,zoom,4,2020-01-01
60,65,slack,18,2020-01-01
60,70,zoom,2,2020-01-01
60,78,slack,12,2020-01-01
60,99,email,6,2020-01-01
60,77,slack,14,2020-01-01
60,60,zoom,0,2020-01-01
61,95,slack,4,2020-01-01
62,0,email,5,2020-01-01
62,68,slack,11,2020-01-01
62,66,zoom,3,2020-01-01
62,77,slack,5,2020-01-01
62,66,slack,10,2020-01-01
62,80,zoom,5,2020-01-01
63,63,email,2,2020-01-01
63,71,zoom,3,2020-01-01
63,77,slack,17,2020-01-01
63,69,email,0,2020-01-01
63,11,email,0,2020-01-01
63,66,email,1,2020-01-01
63,17,email,2,2020-01-01
63,61,email,3,2020-01-01
63,69,email,0,2020-01-01
63,74,zoom,1,2020-01-01
63,71,zoom,4,2020-01-01
63,76,zoom,2,2020-01-01
63,63,zoom,1,2020-01-01
64,38,zoom,1,2020-01-01
64,72,email,1,2020-01-01
64,68,zoom,2,2020-01-01
64,56,email,2,2020-01-01
64,25,slack,13,2020-01-01
64,11,zoom,3,2020-01-01
64,72,zoom,2,2020-01-01
64,69,zoom,3,2020-01-01
64,96,email,3,2020-01-01
64,67,email,3,2020-01-01
64,75,email,4,2020-01-01
64,44,slack,18,2020-01-01
64,34,email,3,2020-01-01
64,66,slack,13,2020-01-01
64,25,zoom,2,2020-01-01
65,66,zoom,3,2020-01-01
65,65,email,1,2020-01-01
65,45,slack,11,2020-01-01
65,65,email,5,2020-01-01
65,90,email,8,2020-01-01
65,77,email,1,2020-01-01
65,70,email,2,2020-01-01
65,74,email,4,2020-01-01
66,77,slack,12,2020-01-01
66,61,slack,17,2020-01-01
66,75,zoom,5,2020-01-01
66,68,zoom,2,2020-01-01
66,14,email,4,2020-01-01
66,69,zoom,2,2020-01-01
66,75,slack,11,2020-01-01
66,35,slack,12,2020-01-01
66,79,slack,21,2020-01-01
66,36,slack,16,2020-01-01
66,66,slack,10,2020-01-01
66,22,email,2,2020-01-01
67,97,zoom,1,2020-01-01
67,66,slack,3,2020-01-01
67,89,slack,5,2020-01-01
67,49,email,0,2020-01-01
67,66,zoom,2,2020-01-01
67,84,slack,7,2020-01-01
67,66,email,5,2020-01-01
67,84,email,5,2020-01-01
67,38,zoom,1,2020-01-01
67,66,slack,10,2020-01-01
67,76,slack,6,2020-01-01
68,19,slack,17,2020-01-01
68,75,zoom,1,2020-01-01
68,65,slack,12,2020-01-01
68,76,email,3,2020-01-01
68,63,slack,5,2020-01-01
68,77,slack,13,2020-01-01
68,60,zoom,3,2020-01-01
68,91,slack,11,2020-01-01
68,79,zoom,1,2020-01-01
68,36,email,4,2020-01-01
68,67,zoom,6,2020-01-01
68,71,zoom,1,2020-01-01
68,9,slack,10,2020-01-01
69,41,slack,14,2020-01-01
69,66,email,1,2020-01-01
69,68,email,3,2020-01-01
69,60,email,1,2020-01-01
69,78,zoom,3,2020-01-01
69,64,slack,17,2020-01-01
69,78,zoom,3,2020-01-01
70,68,email,4,2020-01-01
70,68,zoom,1,2020-01-01
70,3,email,1,2020-01-01
70,61,zoom,1,2020-01-01
70,24,email,5,2020-01-01
70,72,slack,11,2020-01-01
70,61,email,7,2020-01-01
70,78,email,2,2020-01-01
70,61,zoom,2,2020-01-01
70,34,email,1,2020-01-01
70,65,slack,17,2020-01-01
70,68,slack,13,2020-01-01
71,68,email,0,2020-01-01
71,62,email,7,2020-01-01
71,76,email,3,2020-01-01
71,1,email,4,2020-01-01
71,60,slack,12,2020-01-01
71,38,zoom,2,2020-01-01
71,83,slack,6,2020-01-01
71,73,email,5,2020-01-01
71,90,email,3,2020-01-01
72,79,zoom,3,2020-01-01
72,49,email,6,2020-01-01
72,34,zoom,6,2020-01-01
72,23,slack,9,2020-01-01
72,77,email,4,2020-01-01
72,76,email,1,2020-01-01
73,77,slack,8,2020-01-01
73,42,zoom,5,2020-01-01
73,99,email,4,2020-01-01
73,75,slack,7,2020-01-01
73,16,zoom,2,2020-01-01
74,90,slack,10,2020-01-01
75,62,email,2,2020-01-01
75,70,zoom,2,2020-01-01
75,76,email,0,2020-01-01
75,75,email,5,2020-01-01
76,71,email,3,2020-01-01
76,71,zoom,2,2020-01-01
76,66,email,2,2020-01-01
76,7,email,1,2020-01-01
77,73,zoom,1,2020-01-01
77,69,slack,8,2020-01-01
77,78,email,3,2020-01-01
77,65,email,1,2020-01-01
77,77,email,4,2020-01-01
77,89,slack,15,2020-01-01
77,64,zoom,0,2020-01-01
77,89,email,2,2020-01-01
77,23,zoom,1,2020-01-01
77,65,zoom,0,2020-01-01
77,33,email,0,2020-01-01
77,39,slack,11,2020-01-01
77,46,zoom,1,2020-01-01
77,74,email,4,2020-01-01
77,70,zoom,1,2020-01-01
77,60,zoom,1,2020-01-01
78,6,email,4,2020-01-01
78,73,email,4,2020-01-01
78,70,slack,14,2020-01-01
78,75,slack,7,2020-01-01
78,67,email,5,2020-01-01
78,62,zoom,1,2020-01-01
78,33,zoom,1,2020-01-01
78,74,slack,17,2020-01-01
78,67,slack,19,2020-01-01
78,61,slack,8,2020-01-01
79,72,slack,10,2020-01-01
79,28,slack,9,2020-01-01
79,28,zoom,3,2020-01-01
79,72,slack,7,2020-01-01
79,63,email,6,2020-01-01
80,89,email,2,2020-01-01
80,63,zoom,0,2020-01-01
80,92,zoom,4,2020-01-01
80,88,slack,7,2020-01-01
80,99,slack,12,2020-01-01
80,15,slack,13,2020-01-01
80,96,zoom,2,2020-01-01
81,32,email,0,2020-01-01
81,30,zoom,1,2020-01-01
81,91,email,4,2020-01-01
81,33,zoom,1,2020-01-01
81,97,slack,14,2020-01-01
81,86,slack,6,2020-01-01
81,23,email,3,2020-01-01
81,61,email,2,2020-01-01
82,92,slack,10,2020-01-01
82,30,slack,8,2020-01-01
82,81,slack,8,2020-01-01
82,86,email,2,2020-01-01
82,95,email,4,2020-01-01
82,56,zoom,0,2020-01-01
82,95,slack,10,2020-01-01
82,81,slack,5,2020-01-01
82,67,zoom,2,2020-01-01
82,90,slack,11,2020-01-01
82,28,zoom,1,2020-01-01
82,81,email,3,2020-01-01
82,15,zoom,3,2020-01-01
82,38,slack,7,2020-01-01
82,92,zoom,3,2020-01-01
83,12,email,1,2020-01-01
83,91,zoom,2,2020-01-01
83,89,zoom,4,2020-01-01
83,85,slack,5,2020-01-01
83,46,zoom,0,2020-01-01
83,11,zoom,0,2020-01-01
83,49,email,3,2020-01-01
83,54,zoom,2,2020-01-01
83,86,email,3,2020-01-01
84,55,email,6,2020-01-01
84,88,email,4,2020-01-01
84,1,email,1,2020-01-01
84,88,slack,9,2020-01-01
84,29,zoom,1,2020-01-01
85,83,email,1,2020-01-01
85,88,email,5,2020-01-01
85,82,slack,3,2020-01-01
85,9,slack,5,2020-01-01
85,16,slack,6,2020-01-01
85,89,zoom,1,2020-01-01
85,88,zoom,2,2020-01-01
85,88,slack,10,2020-01-01
85,94,email,3,2020-01-01
86,96,zoom,2,2020-01-01
86,94,slack,14,2020-01-01
86,88,slack,14,2020-01-01
87,94,zoom,2,2020-01-01
87,85,zoom,4,2020-01-01
87,10,zoom,2,2020-01-01
87,90,zoom,2,2020-01-01
87,8,slack,10,2020-01-01
87,99,zoom,3,2020-01-01
87,20,email,3,2020-01-01
87,18,email,6,2020-01-01
87,60,zoom,1,2020-01-01
87,97,email,8,2020-01-01
88,16,zoom,0,2020-01-01
88,93,zoom,4,2020-01-01
88,98,slack,11,2020-01-01
88,88,slack,16,2020-01-01
89,92,slack,9,2020-01-01
89,61,email,4,2020-01-01
89,98,zoom,1,2020-01-01
89,46,slack,9,2020-01-01
89,15,zoom,2,2020-01-01
89,81,email,3,2020-01-01
89,96,email,5,2020-01-01
89,95,zoom,2,2020-01-01
89,90,email,4,2020-01-01
89,7,zoom,2,2020-01-01
89,2,email,3,2020-01-01
89,11,zoom,2,2020-01-01
89,99,zoom,1,2020-01-01
89,15,slack,16,2020-01-01
89,77,slack,11,2020-01-01
89,95,zoom,3,2020-01-01
89,96,email,2,2020-01-01
89,90,email,0,2020-01-01
90,84,email,7,2020-01-01
90,93,email,1,2020-01-01
90,0,slack,6,2020-01-01
90,96,zoom,1,2020-01-01
90,87,zoom,1,2020-01-01
90,15,zoom,2,2020-01-01
90,84,slack,6,2020-01-01
90,98,zoom,0,2020-01-01
91,38,email,3,2020-01-01
91,92,slack,4,2020-01-01
91,97,zoom,2,2020-01-01
91,94,slack,7,2020-01-01
91,37,zoom,3,2020-01-01
92,82,email,3,2020-01-01
92,34,slack,7,2020-01-01
92,80,email,5,2020-01-01
92,99,slack,6,2020-01-01
92,33,zoom,2,2020-01-01
92,82,zoom,1,2020-01-01
92,94,email,3,2020-01-01
92,95,zoom,4,2020-01-01
92,4,email,4,2020-01-01
92,84,email,4,2020-01-01
92,96,zoom,3,2020-01-01
92,99,email,5,2020-01-01
93,12,slack,6,2020-01-01
93,17,zoom,1,2020-01-01
94,70,slack,12,2020-01-01
94,83,zoom,0,2020-01-01
94,23,zoom,0,2020-01-01
94,57,email,4,2020-01-01
95,92,slack,15,2020-01-01
95,80,email,2,2020-01-01
95,80,slack,19,2020-01-01
95,32,slack,19,2020-01-01
95,85,zoom,3,2020-01-01
95,92,slack,12,2020-01-01
95,80,slack,15,2020-01-01
95,84,slack,8,2020-01-01
95,88,slack,11,2020-01-01
95,96,zoom,1,2020-01-01
96,84,zoom,1,2020-01-01
96,93,slack,5,2020-01-01
96,96,zoom,4,2020-01-01
96,82,slack,6,2020-01-01
96,3,slack,5,2020-01-01
96,95,slack,5,2020-01-01
96,49,slack,9,2020-01-01
96,83,email,2,2020-01-01
96,18,slack,7,2020-01-01
96,96,email,4,2020-01-01
96,92,zoom,1,2020-01-01
96,80,zoom,0,2020-01-01
96,91,email,3,2020-01-01
96,83,zoom,2,2020-01-01
96,42,zoom,2,2020-01-01
96,49,slack,7,2020-01-01
97,96,slack,14,2020-01-01
97,91,slack,14,2020-01-01
97,28,slack,13,2020-01-01
97,85,zoom,1,2020-01-01
97,86,email,7,2020-01-01
97,80,email,4,2020-01-01
